Group,Nom,Nationalite,DDN,Titre,TypeDesign,TypeDesignCode,DDC,Acquisition,Dimensions,MST,DCU,DAU,TypeAcquisition,Sexe,Image,No Capital Nationalité,flag,
97,Frédéric FORTHUNY,Française,"1895, Rouen (Seine-Maritime, France) - 1919, ?",Pendentif aux hippocampes,Design Vestimentaire ,6,1920,"Achat de l'Etat, 1921
Attribution, 1922","7,1 x 4 x 0,4 cm","Métal cuivreux doré et ajouré, émaux et brillants",1920,1922,Etat,Homme,vetement.png,française,france.png,
98,Raoul DUFY,Française,"1877, Le Havre (Normandie, France) - 1953, Forcalquier (Provence-Alpes-Côte d'Azur, France)",Livre Elégies,Design Graphique/ Illustration,2,1920,Legs de Mme Raoul Dufy en 1963,,,1920,1963,Legs,Homme,graphic.png,française,france.png,
99,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Coupelle,Design d'Objet,3,1920,Legs de M. Atherton Curtis en 1957,"hauteur: 3,5 cm
diamètre: 11,3 cm",Grès,1920,1957,Legs,Homme,objet.png,française,france.png,
100,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Coupelle,Design d'Objet,3,1920,Legs de M. Atherton Curtis en 1957,"hauteur: 3,8 cm
diamètre: 11,3 cm",Grès,1920,1957,Legs,Homme,objet.png,française,france.png,
101,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Coupe,Design d'Objet,3,1920,Legs de M. Atherton Curtis en 1957,"hauteur: 4,5 cm
diamètre: 13,5 cm",Grès,1920,1957,Legs,Homme,objet.png,française,france.png,
102,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Coupelle,Design d'Objet,3,1920,Legs de M. Atherton Curtis en 1957,"hauteur: 3,5 cm
diamètre: 9,5 cm",Grès beige,1920,1957,Legs,Homme,objet.png,française,france.png,
103,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Coupelle,Design d'Objet,3,1920,Legs de M. Atherton Curtis en 1957,"hauteur: 3,7 cm
diamètre: 11 cm",Grès à glaçure craquelé à l'extérieur,1920,1957,Legs,Homme,objet.png,française,france.png,
104,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Coupelle ou cendrier,Design d'Objet,3,1920,Legs de M. Atherton Curtis en 1957,"hauteur: 3 cm
diamètre: 10 cm",Grès,1920,1957,Legs,Homme,objet.png,française,france.png,
105,PHILIPS,Néerlandaise,,Ampoule Lampes pour radio,Design Industriel,4,1910 - 1920,Don de Philips France en 1992,10 x 5 cm,"Lampe à culot à 4 ou 5 broches.
Verre et métal",1920,1992,Don,Studio/ Group,industrie.png,Néerlandaise,netherlands.png,
106,ANONYME,Inconnue,,Loupe,Design d'Objet,3,vers 1920,Inscription à l'inventaire en 1993,"largeur: 14,5 cm
diamètre: 8 cm",Bakélite,1920,1993,Inscription,Unknown,objet.png,inconnue,unknown.png,
107,ANONYME,Inconnue,,Téléphone,Design Industriel,4,vers 1920,Inscription à l'inventaire en 2000,31 x 15 x 15 cm,"Bakélite, métal et fonte",1920,2000,Inscription,Unknown,industrie.png,inconnue,unknown.png,
108,Maurice MARINOT,Française,"1882, Troyes (Grand-Est, France) - 1960, Troyes (Grand-Est, France)",Grand vase,Design d'Objet,3,1921,Acquisition,Acquisition,Acquisition,1921,1921,Acquisition,Homme,objet.png,française,france.png,
109,Maurice MARINOT,Française,"1882, Troyes (Grand-Est, France) - 1960, Troyes (Grand-Est, France)",Coupe,Design d'Objet,3,1920 - 1921,"Achat de l'Etat, 1921
Attribution, 1921","hauteur: 9 cm
diamètre: 22 cm",Verre soufflé et émaillé,1921,1921,Etat,Homme,objet.png,française,france.png,
110,Georges BASTARD,Française,"1881, Andeville (Oise, France) - 1939, Espagne",Boîte en forme de boule,Design d'Objet,3,vers 1921,Mode d'acquisition non renseigné,"hauteur: 11 cm
diamètre: 11,5 cm",Ecaille blonde à incrustations de nacre,1921,1921,,Homme,objet.png,française,france.png,
111,Marcel BREUER,Américaine (Hongroise à la naissance),"1902, Pécs (Hongrie) - 1981, New York (New York, États-Unis)","Chaise Lattenstuhl
(chaise à lattes)",Mobilier,1,1922,Achat à Luise Freifrau von Münchhausen et Alexander von Vegesack en 1993,95 x 57 x 58 cm,"Erable, textile",1922,1993,Achat,Homme,mobilier.png,américaine (Hongroise à la naissance),usa-hun.png,
112,Maurice MARINOT,Française,"1882, Troyes (Grand-Est, France) - 1960, Troyes (Grand-Est, France)",Vase,Design d'Objet,3,1922,Attribution,"hauteur: 35 cm
diamètre: 21,5 cm",Verre soufflé multicouche gravé à l'acide.,1922,1922,Attribution,Homme,objet.png,française,france.png,
113,Maurice MARINOT,Française,"1882, Troyes (Grand-Est, France) - 1960, Troyes (Grand-Est, France)",Flacon,Design d'Objet,3,1922,Attribution,"hauteur: 18,5 cm
diamètre: 11 cm","Verre soufflé, décor intercalaire",1922,1922,Attribution,Homme,objet.png,française,france.png,
114,Jean COCTEAU,Française,"1889, Maisons-Laffitte (Ile-de-France, France) - 1963, Milly-la-Forêt (Ile-de-France, France)",Francis Poulenc,Design Graphique/ Illustration,2,1922,Dation en 2018,26 x 20 cm,Encre sur papier,1922,2018,Dation,Homme,graphic.png,française,france.png,
115,Jean LURÇAT,Française,"1892, Bruyères (Grand-Est, France) - 1966, Saint-Paul-de-Vence (Provence-Alpes-Côte d'Azur, France)",Paravent L'été,Design Graphique/ Illustration,2,1922,"Donation d'Aline et Pierre Vellay en 2006 en mémoire d'Annie et Jean Dalsace, commanditaires de la Maison de Verre de Pierre Chareau","hauteur: 1,80 cm","Peinture à la colle, encre de Chine et graphite sur papiers vélins. Marouflés et montés sur châssis",1922,2006,Donation,Homme,graphic.png,française,france.png,
116,Maurice MARINOT,Française,"1882, Troyes (Grand-Est, France) - 1960, Troyes (Grand-Est, France)",Flacon,Design d'Objet,3,1922,"Achat de l'Etat, 1924
Attribution","hauteur: 18,5 cm
diamètre: 14 cm",Verre soufflé,1922,1924,Etat,Homme,objet.png,française,france.png,
117,ATELIER GRAS,Française,"1886, Saint-Raphaël (Var, France) - 1943, Montréal (Canada)",Lampe de bureau Modèle N° 211,Design d'Objet,3,septembre 1922,Achat à Teisso Antiquités en 2006,hauteur: 50 cm,Semi-fixe avec happe de serrage. Finition nickelée,1922,2006,Achat,Studio/ Group,objet.png,française,france.png,
118,ATELIER GRAS,Française,"1886, Saint-Raphaël (Var, France) - 1943, Montréal (Canada)",Lampe de bureau Modèle N° 201,Design d'Objet,3,septembre 1922,Achat à Teisso Antiquités en 2006,hauteur: 70 cm,Semi-fixe avec happe de serrage. Émaillée noire,1922,2006,Achat,Studio/ Group,objet.png,française,france.png,
119,ATELIER GRAS,Française,"1886, Saint-Raphaël (Var, France) - 1943, Montréal (Canada)",Lampe de bureau Modèle N°205,Design d'Objet,3,septembre 1922,Achat à Teisso Antiquités en 2006,hauteur: 60 cm,Socle en fonte triangulaire pyramidal,1922,2006,Achat,Studio/ Group,objet.png,française,france.png,
120,"Gerrit T. RIETVELD (Gerrit Thomas RIETVELD, dit)",Néerlandaise,"1888, Utrecht (Pays-Bas) - 1964, Utrecht (Pays-Bas)",Chaise Militaire Stoel,Mobilier,1,1923,Achat à Luise Freifrau von Münchhausen et Alexander von Vegesack en 1993,90 x 41 x 52 cm,Tasseaux de sapin. Assise et dossier en contreplaqué. Chevilles métalliques,1923,1993,Achat,Homme,mobilier.png,néerlandaise,netherlands.png,
121,Joost SCHMIDT,Allemande,"1893, Wunstorf (Allemagne) - 1948, Nuremberg (Allemagne)",Affiche Staatliches Bauhaus,Design Graphique/ Illustration,2,1923,Achat à la Galerie Ulrich Fiedler en 1999,"68,3 x 48 cm",Lithographie couleur avec bande de papier collé,1923,1999,Achat,Homme,graphic.png,allemande,germany.png,
122,Pierre CHAREAU,Française,"1883, Bordeaux (Gironde, France) - 1950, New York (New York, États-Unis)",Lampadaire La Religieuse,Design d'Objet,3,1923,"Achat avec la participation de la Scaler Foundation, 1995",171 x 45 x 55 cm,"Fer forgé martelé, albâtre, laiton",1923,1995,Achat,Homme,objet.png,française,france.png,
123,Pierre CHAREAU,Française,"1883, Bordeaux (Gironde, France) - 1950, New York (New York, États-Unis)","Jardinière ""PF 35""",Design d'Objet,3,vers 1923,"Achat à Christie's France en 2022
avec la participation du Fonds du patrimoine","103,3 x 47 x 45,7 cm",Fer forgé patiné peint,1923,2022,Achat,Homme,objet.png,française,france.png,
124,Maurice MARINOT,Française,"1882, Troyes (Grand-Est, France) - 1960, Troyes (Grand-Est, France)",Vase,Design d'Objet,3,1923,Acquisition,Acquisition,Acquisition,1923,1923,Acquisition,Homme,objet.png,française,france.png,
125,Maurice MARINOT,Française,"1882, Troyes (Grand-Est, France) - 1960, Troyes (Grand-Est, France)",Verre,Design d'Objet,3,1923,Acquisition,"hauteur: 19 cm
diamètre: 9,5 cm","Verre soufflé, verre gravé à l'acide",1923,1923,Acquisition,Homme,objet.png,française,france.png,
126,Pierre CHAREAU,Française,"1883, Bordeaux (Gironde, France) - 1950, New York (New York, États-Unis)",Fauteuil Modèle SN37,Mobilier,1,vers 1923,Dation en 2008,"73 x 74,5 x 66,5 cm",Bois,1923,2008,Dation,Homme,mobilier.png,française,france.png,
127,Pierre CHAREAU,Française,"1883, Bordeaux (Gironde, France) - 1950, New York (New York, États-Unis)",Canapé Modèle MP215,Mobilier,1,vers 1923,Dation en 2008,73 x 130 x 65 cm,"Bois tapissé ottoman beige, Structure et piétement en bois",1923,2008,Dation,Homme,mobilier.png,française,france.png,
128,Jean COCTEAU,Française,"1889, Maisons-Laffitte (Ile-de-France, France) - 1963, Milly-la-Forêt (Ile-de-France, France)",Autoportrait,Design Graphique/ Illustration,2,1923,Dation en 2018,"36,4 x 27,8 cm","Mine graphite, encre, feutre et crayon de couleur sur papier",1923,2018,Dation,Homme,graphic.png,française,france.png,
129,Francis JOURDAIN,Française,"1876, Paris (France) - 1958, Paris (France)",Mobilier Fauteuil en chêne teint façon acajou,Mobilier,1,circa 1923,Don de M. Laurent Moos en 2017,"71 x 51,5 x 43 cm",chêne teint façon acajou,1923,2017,Don,Homme,mobilier.png,française,france.png,
130,Francis JOURDAIN,Française,"1876, Paris (France) - 1958, Paris (France)",Mobilier Desserte en acajou,Mobilier,1,circa 1923,Don de M. Laurent Moos en 2017,"90,9 x 169 x 45 cm",acajou,1923,2017,Don,Homme,mobilier.png,française,france.png,
131,Francis JOURDAIN,Française,"1876, Paris (France) - 1958, Paris (France)",Mobilier bureau,Mobilier,1,vers 1923,Don de M. Laurent Moos en 2017,"71,5 x 142 x 82 cm",Bois plaqué,1923,2017,Don,Homme,mobilier.png,française,france.png,
132,Jean BURKHALTER,Française,"1895, Auxerre (Bourgogne-Franche-Comté, France) - 1982, Blacy (Bourgogne-Franche-Comté, France)",Fauteuil,Mobilier,1,1923,Don de Mme Martine Abraham en 2003,95 x 82 x 92 cm,"Bois de merisier peint, tissu, laiton",1923,2003,Don,Homme,mobilier.png,française,france.png,
133,Pierre CHAREAU,Française,"1883, Bordeaux (Gironde, France) - 1950, New York (New York, États-Unis)",Chauffeuse,Mobilier,1,1923,Don des Amis du Centre Pompidou en 2021,99 x 40 x 40 cm,Frêne vernissé,1923,2021,Don,Homme,mobilier.png,française,france.png,
134,Pierre CHAREAU,Française,"1883, Bordeaux (Gironde, France) - 1950, New York (New York, États-Unis)",Table à langer,Mobilier,1,1923,Don des Amis du Centre Pompidou en 2021,"93 x 129,5 x 80 cm","Frêne vernissé, mousse, coton",1923,2021,Don,Homme,mobilier.png,française,france.png,
135,Pierre CHAREAU,Française,"1883, Bordeaux (Gironde, France) - 1950, New York (New York, États-Unis)",Chaise,Mobilier,1,1923,Don des Amis du Centre Pompidou en 2021,"104 x 41 x 38,5 cm",Frêne vernissé,1923,2021,Don,Homme,mobilier.png,française,france.png,
136,Pierre CHAREAU,Française,"1883, Bordeaux (Gironde, France) - 1950, New York (New York, États-Unis)",Chaise,Mobilier,1,1923,Don des Amis du Centre Pompidou en 2021,"104 x 41 x 38,5 cm",Frêne vernissé,1923,2021,Don,Homme,mobilier.png,française,france.png,
137,Pierre CHAREAU,Française,"1883, Bordeaux (Gironde, France) - 1950, New York (New York, États-Unis)",Table à jouets,Mobilier,1,circa 1923,Don des Amis du Centre Pompidou en 2021,75 x 179 x 119 cm,"frêne vernissé, filet",1923,2021,Don,Homme,mobilier.png,française,france.png,
138,Pierre DARIEL,Française,1889 - 1953,Chaise pliante d'extérieur,Mobilier,1,vers 1923,Don de la Galerie Doria en 2018,76 x 65 x 42 cm,Hêtre peint,1923,2018,Don,Homme,mobilier.png,française,france.png,
139,Pol ABRAHAM,Française,"1891, Nantes (Loire-Atlantique, France) - 1966, Paris (France)",Etagère cubiste,Mobilier,1,1923,Don de Mme Martine Abraham en 2003,160 x 30 x 30 cm,Bois peint,1923,2003,Don,Homme,mobilier.png,française,france.png,
140,Pierre CHAREAU,Française,"1883, Bordeaux (Gironde, France) - 1950, New York (New York, États-Unis)",Lampe de table à potence,Design d'Objet,3,1923,Don de Strafor en 1995,30 x 30 x 35 cm,"Fer forgé. Diffuseurs en, albâtre montés sur fixation en feuillure de laiton",1923,1995,Don,Homme,objet.png,française,france.png,
141,Pierre CHAREAU,Française,"1883, Bordeaux (Gironde, France) - 1950, New York (New York, États-Unis)",Cornière d'albâtre pour diffusion de sources lumineuses,Design d'Objet,3,vers 1923,Donation de Aline et Pierre Vellay en 2006,28 x 12 x 7 cm,Albâtre,1923,2006,Donation,Homme,objet.png,française,france.png,
142,Pierre CHAREAU,Française,"1883, Bordeaux (Gironde, France) - 1950, New York (New York, États-Unis)",Pièces d'albâtre taillées pour diverses sources lumineuses,Design d'Objet,3,vers 1923,Donation de Aline et Pierre Vellay en 2006,"17 x 7 x 0,5 cm",Albâtre,1923,2006,Donation,Homme,objet.png,française,france.png,
143,Pierre CHAREAU,Française,"1883, Bordeaux (Gironde, France) - 1950, New York (New York, États-Unis)",Vase Grand vase évoquant la forme de la lampe Religieuse,Design d'Objet,3,vers 1923,Donation de Aline et Pierre Vellay en 2006,"70,5 x 38 x 40 cm",Albâtre sculpté. Section en forme de lyre,1923,2006,Donation,Homme,objet.png,française,france.png,
144,Pierre CHAREAU,Française,"1883, Bordeaux (Gironde, France) - 1950, New York (New York, États-Unis)",Pièces d'albâtre taillées pour appliques,Design d'Objet,3,vers 1923,Donation de Aline et Pierre Vellay en 2006,"11,5 x 17 x 14 cm",Albâtre,1923,2006,Donation,Homme,objet.png,française,france.png,
145,Maurice MARINOT,Française,"1882, Troyes (Grand-Est, France) - 1960, Troyes (Grand-Est, France)",Vase,Design d'Objet,3,1923,"Achat de l'Etat, 1919
Attribution, 1920",,"Verre soufflé, émail, verre multicouche et verre bullé",1923,1923,Etat,Homme,objet.png,française,france.png,
146,Maurice MARINOT,Française,"1882, Troyes (Grand-Est, France) - 1960, Troyes (Grand-Est, France)",Vase,Design d'Objet,3,1923,"Achat de l'Etat, 1923
Attribution, 1923","hauteur: 21,5 cm
diamètre: 17 cm","Verre soufflé, émail, verre multicouche et verre bullé",1923,1923,Etat,Homme,objet.png,française,france.png,
147,Maurice MARINOT,Française,"1882, Troyes (Grand-Est, France) - 1960, Troyes (Grand-Est, France)","Carafon verre gris, sablé",Design d'Objet,3,1923,"Mode d'acquisition non renseigné
Attribution au Musée national d'art moderne / Centre de création industrielle","hauteur: 23 cm
diamètre: 16,5 cm","Verre soufflé, émail entre couches de verre incolore",1923,1923,,Homme,objet.png,française,france.png,
148,Maurice MARINOT,Française,"1882, Troyes (Grand-Est, France) - 1960, Troyes (Grand-Est, France)",Flacon décoré d'une tête de femme en relief,Design d'Objet,3,1923,"Mode d'acquisition non renseigné
Attribution au Musée national d'art moderne / Centre de création industrielle","18,7 x 10,5 cm","Verre soufflé, émail entre couches de verre incolore",1923,1923,,Homme,objet.png,française,france.png,
149,Alma BUSCHER,Allemande,"1899, Kreuztal (Allemagne) - 1944, Buchschlag (Allemagne)",Banc pour enfant,Mobilier,1,1923 - 1924,Don de la Société des Amis du Musée national d'art moderne en 1999,"40 x 90 x 34,5 cm",Hêtre peint,1924,1999,Don,Femme,mobilier.png,allemande,germany.png,
150,Natalia GONTCHAROVA,Française (russe à la naissance),"1881, Negaevo (Empire Russe) - 1962, Paris (France)","Affiche Théâtre des Petits Comédiens de Bois, de Julie Sazonova",Design Graphique/ Illustration,2,[1924],Don anonyme en 1972,86 x 62 cm,,1924,1972,Don,Femme,graphic.png,française (russe à la naissance),,
151,Wilhelm WAGENFELD,Allemande (RFA),"1900, Brême (Allemagne) - 1990, Stuttgart (République fédérale d'Allemagne)","Lampe de table MT9/ ME1 dite ""Bauhauslampe""",Design Industriel,4,1923 - 1924,Achat à M. Alexander von Vegesack en 1993,"hauteur: 42 cm
diamètre: 20 cm",Globe en opaline et pied en verre. Structure en laiton nickelé,1924,1993,Achat,Homme,industrie.png,allemande (RFA),germany.png,
152,Josef HARTWIG,Allemande (RFA),"1880, Munich (Allemagne) - 1956, Francfort-sur-le-Main (République fédérale d'Allemagne)",Jeu d'échecs,Design d'Objet,3,1923 - 1924,Don de la Clarence Westbury Foundation en 1999,"5,5 x 12,5 x 12,5 cm","Bois massif (poirier), carton, papier",1924,1999,Don,Homme,objet.png,allemande (RFA),germany.png,
153,Walter GROPIUS,Américaine,"1883, Berlin (Allemagne) - 1969, Boston (Massachussetts, États-Unis)",Poignée de porte,Design d'Objet,3,1922 - 1924,Don de la Galerie Ulrich Fiedler en 1999,11 x 17 x 2 cm,Laiton nickelé,1924,1999,Don,Homme,objet.png,américaine,usa.png,
154,Louis DALBET,Française,"?, ?",Outil Pelle et pince à buches,Design d'Objet,3,1924,Donation de Aline et Pierre Vellay en 2006,hauteur: 50 cm,Métal forgé,1924,2006,Donation,Homme,objet.png,française,france.png,
155,Pierre CHAREAU,Française,"1883, Bordeaux (Gironde, France) - 1950, New York (New York, États-Unis)",Grille de cheminée,Design d'Objet,3,vers 1924,Donation de Aline et Pierre Vellay en 2006,40 x 135 x 11 cm,Métal martelé,1924,2006,Donation,Homme,objet.png,française,france.png,
156,Pierre CHAREAU,Française,"1883, Bordeaux (Gironde, France) - 1950, New York (New York, États-Unis)",Accessoires de cheminée Pelle et pince pour buches,Design d'Objet,3,vers 1924,Donation de Aline et Pierre Vellay en 2006,hauteur: 50 cm,Métal,1924,2006,Donation,Homme,objet.png,française,france.png,
157,Pierre CHAREAU,Française,"1883, Bordeaux (Gironde, France) - 1950, New York (New York, États-Unis)",Ecran de cheminée Devants de cheminée,Design d'Objet,3,vers 1924,Donation de Aline et Pierre Vellay en 2006,54 x 40 x 40 cm,Structure en métal cintré et riveté.,1924,2006,Donation,Homme,objet.png,française,france.png,
158,Hélène HENRY,Française,"1891, Champagney (Haute-Saône, France) - 1965, Paris (France)",Nuancier de forme carrée en tissu à motifs géométriques de pipes enchevêtrées sur fond coloré en bandes,Mobilier,1,1925,"Achat à Leclere, Maison de vente en 2015",93 x 82 cm,"Coton, lin",1925,2015,Achat,Femme,mobilier.png,française,france.png,
159,Marcel BREUER,Américaine (Hongroise à la naissance),"1902, Pécs (Hongrie) - 1981, New York (New York, États-Unis)","Fauteuil Stahlclubsessel B3
(Fauteuil club B3, dit Wassily)",Mobilier,1,1925,Achat à Luise Freifrau von Münchhausen et Alexander von Vegesack en 1993,73 x 77 x 69 cm,"Acier nickelé, coton Eisengarn",1925,1993,Achat,Homme,mobilier.png,américaine (Hongroise à la naissance),usa-hun.png,
160,Robert MALLET-STEVENS,Française,"1886, Paris (France) - 1945, Paris (France)",Fauteuil,Mobilier,1,1923 - 1925,Achat à M. Jean-Paul Najar en 1995,92 x 63 x 92 cm,Structure tubulaire en tôle laquée. Assise en toile de coton,1925,1995,Achat,Homme,mobilier.png,française,france.png,
161,Jean BURKHALTER,Française,"1895, Auxerre (Bourgogne-Franche-Comté, France) - 1982, Blacy (Bourgogne-Franche-Comté, France)",Tapis,Design d'Objet,3,circa 1925,Achat à Artcurial en 2016,95 x 173 cm,Laine au point noué,1925,2016,Achat,Homme,objet.png,française,france.png,
162,Dušan JANKOVIC,Serbe,"1894, ? - 1950, ?",Plat blanc,Design d'Objet,3,1925,Acquisition,diamètre: 25 cm,Fonds blanc. Décor géométrique rouge et or,1925,1925,Acquisition,Homme,objet.png,serbe,serbia.png,
