Group,Nom,Nationalite,DDN,Titre,TypeDesign,TypeDesignCode,DDC,Acquisition,Dimensions,MST,DCU,DAU,TypeAcquisition,Sexe,Image,No Capital Nationalité,flag,
596,Emile DECOEUR,Française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Coupe,Design d'Objet,3,mars 1938,Legs de M. Atherton Curtis en 1957,"hauteur: 5,9 cm
diamètre: 11,1 cm",Grès émaillé,1938,1957,Legs,Homme,objet.png,française,france.png,
597,EMERSON,Américaine,,"Radio BT 245 ""Cathedral Tombstone""",Design Industriel,4,1938,Don de la Société des Amis du Musée national d'art moderne en 2005,26 x 19 x 15 cm,Catalin vert,1938,2005,Don,Studio/ Group,industrie.png,américaine,usa.png,
598,PHILIPS,Néerlandaise,,Radio 752 A,Design Industriel,4,1938,Don de Philips France en 2005,"38 x 54 x 23,5 cm",Bakélite et bois verni. Sélection des fréquences sur un tableau rabattable au-dessus du récepteur,1938,2005,Don,Studio/ Group,industrie.png,Néerlandaise,netherlands.png,
599,Charlotte PERRIAND,Française,"1903, Paris (Ile-de-France, France) - 1999, Paris (Ile-de-France, France)",Bureau en forme,Mobilier,1,1939,Achat à l'artiste en 1995,69 x 226 x 96 cm,"Sapin naturel, pin teinté, aluminium.",1939,1995,Achat,Femme,mobilier.png,française,france.png,
600,Charlotte PERRIAND,Française,"1903, Paris (Ile-de-France, France) - 1999, Paris (Ile-de-France, France)",Casier mural,Design d'Objet,3,1939,Achat à l'artiste en 1995,60 x 199 x 44 cm,"Bois, aluminium",1939,1995,Achat,Femme,objet.png,française,france.png,
601,Jean PROUVÉ,Française,"1901, Paris (Ile-de-France, France) - 1984, Nancy (Grand-Est, France)","Table pour la salle à manger des maîtres, Collège Jehan-Ango",Design Graphique/ Illustration,2,1939,Achat à Kees Stoop en 1992,"64,5 x 99,5 cm",Graphite et crayon rouge sur calque,1939,1992,Achat,Homme,graphic.png,française,france.png,
602,Jean PROUVÉ,Française,"1901, Paris (Ile-de-France, France) - 1984, Nancy (Grand-Est, France)","Table de réfectoire, Collège Jehan-Ango",Design Graphique/ Illustration,2,1939,Achat à Kees Stoop en 1992,"64,9 x 98,3 cm",Graphite et crayon rouge sur calque,1939,1992,Achat,Homme,graphic.png,française,france.png,
603,Jean PROUVÉ,Française,"1901, Paris (Ile-de-France, France) - 1984, Nancy (Grand-Est, France)","Desserte en tôle laquée, Collège Jehan Ango, Dieppe",Design Graphique/ Illustration,2,1939,Achat à Kees Stoop en 1992,66 x 101 cm,Graphite et crayon rouge sur calque,1939,1992,Achat,Homme,graphic.png,française,france.png,
604,Jean PROUVÉ,Française,"1901, Paris (Ile-de-France, France) - 1984, Nancy (Grand-Est, France)","Table de classe, Collège Jehan-Ango",Design Graphique/ Illustration,2,1939,Achat à Kees Stoop en 1992,"65 x 61,5 cm",Graphite et crayon rouge sur calque,1939,1992,Achat,Homme,graphic.png,française,france.png,
605,Roger TALLON,Française,"1929, Paris (Ile-de-France, France) - 2011, Paris (Ile-de-France, France)",Cendrier,Design d'Objet,3,1939,Don de la Galerie Christine Diegoni-Zyman en 2010,"hauteur: 6,5 cm
diamètre: 20 cm",Mélamine,1939,2020,Don,Homme,objet.png,française,france.png,
